Date,energy,materials,industrial,cons_discretionary,cons_staple,healthcare,financials,it,telecom,utilities,real_estate
9-Oct-01,212.4,119.11,231.76,205.83,214.63,384.73,323.74,282.14,186.84,161.13,100
10-Oct-01,219.86,122.13,237.77,212.24,217.03,391.11,329.3,292.25,188.55,163.84,99.19
11-Oct-01,218.96,126.1,243.57,219.55,215.23,387.43,333.5,308.68,185.57,164.49,99.74
12-Oct-01,219.07,125.35,241.63,216.73,212.67,388.68,328.67,311.21,183.25,163.94,99.48
15-Oct-01,214.47,124.4,241.74,216.67,211.87,392.98,331.49,307.85,181.48,162.33,100
16-Oct-01,216.44,125.54,241.74,217.88,211.46,393.39,336.53,313.48,178.7,165.63,98.37
17-Oct-01,215.11,123.46,235.46,210.91,210.16,391.16,333.81,299.46,176.92,164.07,97.24
18-Oct-01,208.51,122.67,234.9,208.87,211.43,388.74,330.54,299.88,174,159.01,96.78
19-Oct-01,209.49,122,235,211.89,214.45,390.61,326.7,304.07,173.67,161.32,94.28
22-Oct-01,212.46,125.19,238.03,213.62,216.69,398.22,335.28,312.17,170.56,159.32,91.84
23-Oct-01,211.93,125.84,237.09,215.25,215.64,391.9,335.28,311.62,166.74,156.19,91.35
24-Oct-01,209.86,125.4,237.76,213.4,214.86,390.63,335.01,319.25,167.08,150.64,88.23
25-Oct-01,213.91,126.17,241.62,215.87,215.86,391.81,340.01,328.55,166.89,154.06,89.04
26-Oct-01,218.16,127.44,245.77,217.46,217.12,390.85,341.67,325.4,168.69,153.04,88.59
29-Oct-01,216.96,125.19,237.77,210.26,214.76,387.87,332.11,310.06,167.51,153,90.57
30-Oct-01,210.39,123.52,232.62,205.47,213.2,383.23,329.11,303.44,163.56,150.12,91.9
31-Oct-01,209.52,122.17,233.12,208.07,212.7,380.6,325.55,307.35,162.41,151.43,92.68
1-Nov-01,213.72,124.64,239.45,213.03,215.83,385.04,331.78,321.8,165.35,151.22,94.15
2-Nov-01,209.02,126.33,242.03,215.47,217.37,384.17,334.39,322.88,164.99,148.21,91.67
5-Nov-01,207.6,126.7,246.35,220.21,218.51,384.95,340.16,332.26,166.38,152.23,92.72
6-Nov-01,207.03,128.74,249.79,224.71,219.6,387.95,345.31,343.43,166.83,152.35,94.96
7-Nov-01,207.53,129.33,249.04,222.28,219.32,385.13,347.01,343.5,165.19,150,94.57
8-Nov-01,209.51,128.9,252.01,225.23,216.94,384.05,346.98,341.79,166.6,153.39,94.31
9-Nov-01,214.34,129.43,252.07,226.14,217.19,382.45,345.18,342.42,167.63,154.35,93.07
12-Nov-01,212.51,127.99,248.68,225.34,217.08,382.41,344.65,345.89,165.83,155.21,94.05
13-Nov-01,214.97,131.09,253.97,231.74,218.48,384.73,351.57,357.1,166.44,157.03,95.32
14-Nov-01,204.03,133.36,255.95,236.15,220.12,383.16,353.34,359.15,167.19,153.64,95.8
15-Nov-01,194.96,134.65,258.42,238.15,220.99,384.59,352.28,359,171.96,150.96,97.53
16-Nov-01,197.81,134.15,257.3,235.36,220.79,386.22,348.19,358.2,171.69,151.52,96.26
19-Nov-01,196.9,136.25,260.48,240.39,220.28,390.59,353.34,363.52,172.09,150.63,96.75
20-Nov-01,203.7,135.57,258.23,236.98,219.73,393.56,351.4,351.69,169.76,151.91,95.12
21-Nov-01,202.03,134.58,256.14,234.58,218.46,398.48,349.03,349.46,168.66,148.62,95.93
23-Nov-01,204.84,136.76,259.51,237.74,219.79,399.65,354.73,355.15,169.6,149.76,96.68
26-Nov-01,201.09,135.84,261.43,239.66,218.81,401.86,357.87,362.12,171.18,148.12,96.55
27-Nov-01,200.54,136.01,260.45,236.62,216.03,398.91,356.57,359.77,168.54,148.69,95.8
28-Nov-01,198.39,135.01,254.53,233.42,214.66,395.92,347.72,349.16,166.75,142.81,95.35
29-Nov-01,201.06,134.59,256.43,233.59,216.77,398.06,351.12,359.19,167.17,143.4,96.59
30-Nov-01,200.73,136.35,254.63,236.22,217.31,398.56,348.23,359.73,165.33,142.61,96.91
3-Dec-01,203.14,134.53,250.06,232.8,216.91,399.68,342.88,354.71,166.65,140.72,95.6
