MMM,3M Company,Industrials,Industrial Conglomerates
ABT,Abbott Laboratories,Health Care,Health Care Equipment
ABBV,AbbVie,Health Care,Pharmaceuticals
ACN,Accenture plc,Information Technology,IT Consulting & Other Services
ATVI,Activision Blizzard,Information Technology,Home Entertainment Software
AYI,Acuity Brands Inc,Industrials,Electrical Components & Equipment
ADBE,Adobe Systems Inc,Information Technology,Application Software
AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail
AES,AES Corp,Utilities,Independent Power Producers & Energy Traders
AET,Aetna Inc,Health Care,Managed Health Care
AMG,Affiliated Managers Group Inc,Financials,Asset Management & Custody Banks
AFL,AFLAC Inc,Financials,Life & Health Insurance
A,Agilent Technologies Inc,Health Care,Health Care Equipment
APD,Air Products & Chemicals Inc,Materials,Industrial Gases
AKAM,Akamai Technologies Inc,Information Technology,Internet Software & Services
ALK,Alaska Air Group Inc,Industrials,Airlines
ALB,Albemarle Corp,Materials,Specialty Chemicals
AGN,Allergan Plc,Health Care,Pharmaceuticals
LNT,Alliant Energy Corp,Utilities,Electric Utilities
ALXN,Alexion Pharmaceuticals,Health Care,Biotechnology
ALLE,Allegion,Industrials,Building Products
ADS,Alliance Data Systems,Information Technology,Data Processing & Outsourced Services
ALL,Allstate Corp,Financials,Property & Casualty Insurance
GOOGL,Alphabet Inc Class A,Information Technology,Internet Software & Services
GOOG,Alphabet Inc Class C,Information Technology,Internet Software & Services
MO,Altria Group Inc,Consumer Staples,Tobacco
AMZN,Amazon.com Inc,Consumer Discretionary,Internet & Direct Marketing Retail
AEE,Ameren Corp,Utilities,MultiUtilities
AAL,American Airlines Group,Industrials,Airlines
AEP,American Electric Power,Utilities,Electric Utilities
AXP,American Express Co,Financials,Consumer Finance
AIG,American International Group Inc,Financials,Property & Casualty Insurance
AMT,American Tower Corp A,Real Estate,Specialized REITs
AWK,American Water Works Company Inc,Utilities,Water Utilities
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks
ABC,AmerisourceBergen Corp,Health Care,Health Care Distributors
AME,AMETEK Inc,Industrials,Electrical Components & Equipment
AMGN,Amgen Inc,Health Care,Biotechnology
APH,Amphenol Corp,Industrials,Electrical Components & Equipment
APC,Anadarko Petroleum Corp,Energy,Oil & Gas Exploration & Production
ADI,Analog Devices Inc,Information Technology,Semiconductors
ANTM,Anthem Inc.,Health Care,Managed Health Care
AON,Aon plc,Financials,Insurance Brokers
APA,Apache Corporation,Energy,Oil & Gas Exploration & Production
AIV,Apartment Investment & Mgmt,Real Estate,REITs
AAPL,Apple Inc.,Information Technology,Computer Hardware
AMAT,Applied Materials Inc,Information Technology,Semiconductor Equipment
ADM,Archer-Daniels-Midland Co,Consumer Staples,Agricultural Products
ARNC,Arconic Inc,Industrials,Aerospace & Defense
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers
AIZ,Assurant Inc,Financials,Multi-line Insurance
T,AT&T Inc,Telecommunications Services,Integrated Telecommunications Services
ADSK,Autodesk Inc,Information Technology,Application Software
ADP,Automatic Data Processing,Information Technology,Internet Software & Services
AN,AutoNation Inc,Consumer Discretionary,Specialty Stores
AZO,AutoZone Inc,Consumer Discretionary,Specialty Stores
AVB,AvalonBay Communities Inc,Real Estate,Residential REITs
AVY,Avery Dennison Corp,Materials,Paper Packaging
BHI,Baker Hughes Inc,Energy,Oil & Gas Equipment & Services
BLL,Ball Corp,Materials,Metal & Glass Containers
BAC,Bank of America Corp,Financials,Banks
BK,The Bank of New York Mellon Corp.,Financials,Banks
BCR,Bard (C.R.) Inc.,Health Care,Health Care Equipment
BAX,Baxter International Inc.,Health Care,Health Care Equipment
BBT,BB&T Corporation,Financials,Banks
BDX,Becton Dickinson,Health Care,Health Care Equipment
BBBY,Bed Bath & Beyond,Consumer Discretionary,Specialty Stores
BRK.B,Berkshire Hathaway,Financials,Multi-Sector Holdings
BBY,Best Buy Co. Inc.,Consumer Discretionary,Computer & Electronics Retail
BIIB,BIOGEN IDEC Inc.,Health Care,Biotechnology
BLK,BlackRock,Financials,Asset Management & Custody Banks
HRB,Block H&R,Financials,Consumer Finance
BA,Boeing Company,Industrials,Aerospace & Defense
BWA,BorgWarner,Consumer Discretionary,Auto Parts & Equipment
BXP,Boston Properties,Real Estate,REITs
BSX,Boston Scientific,Health Care,Health Care Equipment
BMY,Bristol-Myers Squibb,Health Care,Health Care Distributors
AVGO,Broadcom,Information Technology,Semiconductors
BF.B,Brown-Forman Corporation,Consumer Staples,Distillers & Vintners
CHRW,C. H. Robinson Worldwide,Industrials,Air Freight & Logistics
CA,CA Inc,Information Technology,Systems Software
COG,Cabot Oil & Gas,Energy,Oil & Gas Exploration & Production
