Date,Tbill
1/2/2002,1.71
1/3/2002,1.7
1/4/2002,1.69
1/7/2002,1.68
1/8/2002,1.67
1/9/2002,1.65
1/10/2002,1.64
1/11/2002,1.6
1/14/2002,1.6
1/15/2002,1.61
1/16/2002,1.6
1/17/2002,1.57
1/18/2002,1.57
1/22/2002,1.64
1/23/2002,1.65
1/24/2002,1.66
1/25/2002,1.66
1/28/2002,1.68
1/29/2002,1.66
1/30/2002,1.67
1/31/2002,1.66
2/1/2002,1.66
2/4/2002,1.67
2/5/2002,1.67
2/6/2002,1.7
2/7/2002,1.68
2/8/2002,1.66
2/11/2002,1.7
2/12/2002,1.71
2/13/2002,1.72
2/14/2002,1.72
2/15/2002,1.69
2/19/2002,1.7
2/20/2002,1.7
2/21/2002,1.73
2/22/2002,1.72
2/25/2002,1.73
2/26/2002,1.74
2/27/2002,1.74
2/28/2002,1.73
3/1/2002,1.75
3/4/2002,1.74
3/5/2002,1.74
3/6/2002,1.74
3/7/2002,1.74
3/8/2002,1.74
3/11/2002,1.77
3/12/2002,1.76
3/13/2002,1.77
3/14/2002,1.76
3/15/2002,1.76
3/18/2002,1.74
3/19/2002,1.75
3/20/2002,1.76
3/21/2002,1.75
3/22/2002,1.75
3/25/2002,1.75
3/26/2002,1.76
3/27/2002,1.74
3/28/2002,1.73
4/1/2002,1.76
4/2/2002,1.75
4/3/2002,1.74
4/4/2002,1.74
4/5/2002,1.73
4/8/2002,1.73
4/9/2002,1.7
4/10/2002,1.69
4/11/2002,1.69
4/12/2002,1.69
4/15/2002,1.68
4/16/2002,1.68
4/17/2002,1.68
4/18/2002,1.67
4/19/2002,1.66
4/22/2002,1.64
4/23/2002,1.64
4/24/2002,1.64
4/25/2002,1.65
4/26/2002,1.65
4/29/2002,1.7
4/30/2002,1.72
5/1/2002,1.73
5/2/2002,1.71
5/3/2002,1.7
5/6/2002,1.71
5/7/2002,1.7
5/8/2002,1.73
5/9/2002,1.71
5/10/2002,1.7
5/13/2002,1.74
5/14/2002,1.74
